Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
;;OUI;;20;8;;;OUI;OUI;2026-09-23T10:52:43+02:00;;;;
;;OUI;;27;1;;;OUI;OUI;2026-09-23T10:52:25+02:00;;;;
;;OUI;;19;0;;;OUI;OUI;2026-09-23T10:50:13+02:00;;;;
;;OUI;;8;11;;;OUI;OUI;2026-09-23T10:49:39+02:00;;;;
;;OUI;;2;10;;;OUI;OUI;2026-09-23T10:51:49+02:00;;;;
;;OUI;;9;23;;;OUI;OUI;2026-09-23T10:51:49+02:00;;;;
;;OUI;;25;4;;;OUI;OUI;2026-09-23T10:52:20+02:00;;;;
;;OUI;;19;2;;;OUI;OUI;2026-09-23T10:47:48+02:00;;;;
;;OUI;;29;9;;;OUI;OUI;2026-09-23T10:50:29+02:00;;;;
;;OUI;;18;42;;;OUI;OUI;2026-09-23T10:52:17+02:00;;;;
;;OUI;;20;22;;;OUI;OUI;2026-09-23T10:50:52+02:00;;;;
;;OUI;;35;5;;;OUI;OUI;2026-09-23T10:50:41+02:00;;;;
;;OUI;;29;1;;;OUI;OUI;2026-09-23T10:46:25+02:00;;;;
;;OUI;;42;5;;;OUI;OUI;2026-09-23T10:51:03+02:00;;;;
;;OUI;;31;4;;;OUI;OUI;2026-09-23T10:49:27+02:00;;;;
;;OUI;;46;3;;;OUI;OUI;2026-09-23T10:52:33+02:00;;;;
;;OUI;;5;29;;;OUI;OUI;2026-09-23T10:52:19+02:00;;;;
;;OUI;;40;1;;;OUI;OUI;2026-09-23T10:47:09+02:00;;;;
;;OUI;;20;13;;;OUI;OUI;2026-09-23T10:48:31+02:00;;;;
;;OUI;;19;1;;;OUI;OUI;2026-09-23T10:48:29+02:00;;;;
;;OUI;;0;16;;;OUI;OUI;2026-09-23T10:46:17+02:00;;;;
;;OUI;;19;5;;;OUI;OUI;2026-09-23T10:50:01+02:00;;;;
;;OUI;;1;20;;;OUI;OUI;2026-09-23T10:52:01+02:00;;;;
