Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
8017;;OUI;;59;5;3;2;OUI;OUI;2026-09-26T01:59:27+02:00;;;;
15106;;OUI;;4;30;29;1;OUI;OUI;2026-09-26T01:58:01+02:00;;;;
31102;;OUI;;9;10;1;9;OUI;OUI;2026-09-26T01:58:07+02:00;;;;
2111;;OUI;;27;2;1;1;OUI;OUI;2026-09-26T01:53:11+02:00;;;;
21209;;OUI;;23;7;5;2;OUI;OUI;2026-09-26T01:54:31+02:00;;;;
10042;;OUI;;27;5;2;3;OUI;OUI;2026-09-26T01:54:57+02:00;;;;
19103;;OUI;;10;10;2;8;OUI;OUI;2026-09-26T01:58:21+02:00;;;;
17203;;OUI;;27;1;0;1;OUI;OUI;2026-09-26T01:54:20+02:00;;;;
42014;;OUI;;1;30;30;0;OUI;OUI;2026-09-26T01:58:36+02:00;;;;
8045;;OUI;;58;0;0;0;NON;NON;2026-09-26T01:58:15+02:00;;;;
5203;;OUI;;18;1;0;1;NON;NON;2026-09-26T01:58:22+02:00;;;;
18501;;OUI;;200;0;0;0;NON;NON;2026-09-26T01:58:59+02:00;;;;
14124;;OUI;;14;8;5;3;OUI;OUI;2026-09-26T01:53:53+02:00;;;;
21006;;OUI;;12;15;10;5;OUI;OUI;2026-09-26T01:57:01+02:00;;;;
44013;;OUI;;12;17;16;1;OUI;OUI;2026-09-26T01:56:15+02:00;;;;
35010;;OUI;;11;9;4;5;OUI;OUI;2026-09-26T01:58:11+02:00;;;;
44003;;OUI;;3;17;7;10;OUI;OUI;2026-09-26T01:59:26+02:00;;;;
42021;;OUI;;1;30;20;10;OUI;OUI;2026-09-26T01:58:19+02:00;;;;
6025;;OUI;;32;0;0;0;NON;NON;2026-09-26T01:56:44+02:00;;;;
20115;;OUI;;9;11;0;11;OUI;OUI;2026-09-26T01:58:49+02:00;;;;
23404;;NON;;0;0;0;0;NON;NON;2026-06-09T09:40:47+02:00;;;;
25003;;OUI;;9;15;8;7;OUI;OUI;2026-09-26T01:59:14+02:00;;;;
22402;;OUI;;13;9;3;6;OUI;OUI;2026-09-26T01:59:09+02:00;;;;
11030;;OUI;;12;11;6;5;OUI;OUI;2026-09-26T01:58:38+02:00;;;;
4201;;OUI;;10;1;1;0;OUI;OUI;2026-09-26T01:58:37+02:00;;;;
24012;;OUI;;12;21;6;15;OUI;OUI;2026-09-26T01:58:40+02:00;;;;
10162;;OUI;;23;1;0;1;NON;NON;2026-09-26T01:59:32+02:00;;;;
23006;;OUI;;9;13;6;7;OUI;OUI;2026-09-26T01:53:13+02:00;;;;
17105;;OUI;;30;10;9;1;OUI;OUI;2026-09-26T01:57:10+02:00;;;;
9010;;OUI;;18;4;4;0;OUI;OUI;2026-09-26T01:58:53+02:00;;;;
18028;;OUI;;22;11;3;8;OUI;OUI;2026-09-26T01:59:08+02:00;;;;
18009;;OUI;;9;12;4;8;OUI;OUI;2026-09-26T01:59:13+02:00;;;;
17125;;OUI;;21;10;2;8;OUI;OUI;2026-09-26T01:56:50+02:00;;;;
16136;;OUI;;1;27;23;4;OUI;OUI;2026-09-26T01:58:08+02:00;;;;
21701;;OUI;;7;21;7;14;OUI;OUI;2026-09-26T01:59:16+02:00;;;;
22003;;OUI;;14;12;9;3;OUI;OUI;2026-09-26T01:58:51+02:00;;;;
11024;;OUI;;0;51;48;3;OUI;OUI;2026-09-26T01:58:21+02:00;;;;
19022;;OUI;;22;4;0;4;OUI;OUI;2026-09-26T01:59:21+02:00;;;;
13050;;OUI;;28;28;23;5;OUI;OUI;2026-09-26T01:57:42+02:00;;;;
17033;;OUI;;24;3;0;3;OUI;OUI;2026-09-26T01:57:51+02:00;;;;
22016;;OUI;;14;11;6;5;OUI;OUI;2026-09-26T01:58:52+02:00;;;;
32302;;OUI;;12;7;0;7;OUI;OUI;2026-09-26T01:56:58+02:00;;;;
10014;;OUI;;33;21;18;3;OUI;OUI;2026-09-26T01:58:40+02:00;;;;
11035;;OUI;;25;26;18;8;OUI;OUI;2026-09-26T01:58:17+02:00;;;;
22006;;OUI;;27;1;1;0;OUI;OUI;2026-09-26T01:59:06+02:00;;;;
21301;;OUI;;10;24;20;4;OUI;OUI;2026-09-26T01:58:33+02:00;;;;
19029;;OUI;;18;1;0;1;OUI;OUI;2026-09-26T01:59:28+02:00;;;;
9032;;OUI;;35;1;0;1;OUI;OUI;2026-09-26T01:57:16+02:00;;;;
19016;;OUI;;23;9;5;4;OUI;OUI;2026-09-26T01:50:47+02:00;;;;
32003;;OUI;;22;5;2;3;OUI;OUI;2026-09-26T01:54:32+02:00;;;;
21104;;OUI;;15;5;2;3;OUI;OUI;2026-09-26T01:57:38+02:00;;;;
11042;;OUI;;7;40;39;1;OUI;OUI;2026-09-26T01:58:36+02:00;;;;
9005;;OUI;;17;14;1;13;OUI;OUI;2026-09-26T01:58:38+02:00;;;;
8025;;OUI;;30;3;1;2;OUI;OUI;2026-09-26T01:54:25+02:00;;;;
7102;;OUI;;44;4;2;2;OUI;OUI;2026-09-26T01:54:25+02:00;;;;
13002;;OUI;;14;12;9;3;OUI;OUI;2026-09-26T01:59:20+02:00;;;;
19013;;OUI;;18;16;7;9;OUI;OUI;2026-09-26T01:59:02+02:00;;;;
43003;;OUI;;18;7;5;2;OUI;OUI;2026-09-26T01:56:22+02:00;;;;
15201;;OUI;;9;29;27;2;OUI;OUI;2026-09-26T01:59:05+02:00;;;;
41402;;OUI;;4;20;16;4;OUI;OUI;2026-09-26T01:58:22+02:00;;;;
18012;;OUI;;14;21;10;11;OUI;OUI;2026-09-26T01:59:15+02:00;;;;
19125;;OUI;;23;7;0;7;OUI;OUI;2026-09-26T01:57:11+02:00;;;;
14036;;OUI;;41;3;1;2;OUI;OUI;2026-09-26T01:55:25+02:00;;;;
12009;;OUI;;3;14;14;0;OUI;OUI;2026-09-26T01:58:16+02:00;;;;
19205;;OUI;;9;13;0;13;OUI;OUI;2026-09-26T01:57:51+02:00;;;;
5123;;OUI;;28;3;2;1;OUI;OUI;2026-09-26T01:51:15+02:00;;;;
4015;;OUI;;34;7;5;2;OUI;OUI;2026-09-26T01:57:10+02:00;;;;
31203;;OUI;;12;17;12;5;OUI;OUI;2026-09-26T01:59:34+02:00;;;;
12027;;OUI;;0;16;12;4;OUI;OUI;2026-09-26T01:58:34+02:00;;;;
42029;;OUI;;2;24;4;20;OUI;OUI;2026-09-26T01:59:25+02:00;;;;
17102;;OUI;;14;13;10;3;OUI;OUI;2026-09-26T01:59:16+02:00;;;;
28001;;OUI;;1;29;19;10;OUI;OUI;2026-09-26T01:58:38+02:00;;;;
15025;;OUI;;25;22;20;2;OUI;OUI;2026-09-26T01:59:18+02:00;;;;
19005;;OUI;;14;6;5;1;OUI;OUI;2026-09-26T01:55:11+02:00;;;;
10113;;OUI;;30;12;10;2;OUI;OUI;2026-09-26T01:58:37+02:00;;;;
43402;;OUI;;10;29;26;3;OUI;OUI;2026-09-26T01:55:21+02:00;;;;
12013;;OUI;;0;15;13;2;OUI;OUI;2026-09-26T01:58:46+02:00;;;;
11115;;OUI;;1;21;19;2;OUI;OUI;2026-09-26T01:58:26+02:00;;;;
6013;;OUI;;22;4;2;2;OUI;OUI;2026-09-26T01:53:14+02:00;;;;
